Stname,Year,Cases
Alabama,2000,6
Alaska,2000,2
Arizona,2000,2
Arkansas,2000,7
California,2000,96
Colorado,2000,0
Connecticut,2000,3773
Delaware,2000,167
District of Columbia,2000,11
Florida,2000,54
Georgia,2000,0
Hawaii,2000,0
Idaho,2000,4
Illinois,2000,35
Indiana,2000,23
Iowa,2000,34
Kansas,2000,17
Kentucky,2000,13
Louisiana,2000,8
Maine,2000,71
Maryland,2000,688
Massachusetts,2000,1158
Michigan,2000,23
Minnesota,2000,465
Mississippi,2000,3
Missouri,2000,47
Montana,2000,0
Nebraska,2000,5
Nevada,2000,4
New Hampshire,2000,84
New Jersey,2000,2459
New Mexico,2000,0
New York,2000,4329
North Carolina,2000,47
North Dakota,2000,2
Ohio,2000,61
Oklahoma,2000,1
Oregon,2000,13
Pennsylvania,2000,2343
Rhode Island,2000,675
South Carolina,2000,25
South Dakota,2000,0
Tennessee,2000,28
Texas,2000,77
Utah,2000,3
Vermont,2000,40
Virginia,2000,149
Washington,2000,9
West Virginia,2000,35
Wisconsin,2000,631
Wyoming,2000,3
Alabama,2001,10
Alaska,2001,2
Arizona,2001,3
Arkansas,2001,4
California,2001,95
Colorado,2001,0
Connecticut,2001,3597
Delaware,2001,152
District of Columbia,2001,17
Florida,2001,43
Georgia,2001,0
Hawaii,2001,0
Idaho,2001,5
Illinois,2001,32
Indiana,2001,26
Iowa,2001,36
Kansas,2001,2
Kentucky,2001,23
Louisiana,2001,8
Maine,2001,108
Maryland,2001,608
Massachusetts,2001,1164
Michigan,2001,21
Minnesota,2001,461
Mississippi,2001,8
Missouri,2001,37
Montana,2001,0
Nebraska,2001,4
Nevada,2001,4
New Hampshire,2001,129
New Jersey,2001,2020
New Mexico,2001,1
New York,2001,4083
North Carolina,2001,41
North Dakota,2001,0
Ohio,2001,44
Oklahoma,2001,0
Oregon,2001,15
Pennsylvania,2001,2806
Rhode Island,2001,510
South Carolina,2001,6
South Dakota,2001,0
Tennessee,2001,31
Texas,2001,75
Utah,2001,1
Vermont,2001,18
Virginia,2001,156
Washington,2001,9
West Virginia,2001,16
Wisconsin,2001,597
Wyoming,2001,1
Alabama,2002,11
Alaska,2002,3
Arizona,2002,4
Arkansas,2002,3
California,2002,97
Colorado,2002,1
Connecticut,2002,4631
Delaware,2002,194
District of Columbia,2002,25
Florida,2002,79
Georgia,2002,2
Hawaii,2002,0
Idaho,2002,4
Illinois,2002,47
Indiana,2002,21
Iowa,2002,42
Kansas,2002,7
Kentucky,2002,25
Louisiana,2002,5
Maine,2002,219
Maryland,2002,738
Massachusetts,2002,1807
Michigan,2002,26
Minnesota,2002,867
Mississippi,2002,12
Missouri,2002,41
Montana,2002,0
Nebraska,2002,6
Nevada,2002,2
New Hampshire,2002,261
New Jersey,2002,2349
New Mexico,2002,1
New York,2002,5535
North Carolina,2002,137
North Dakota,2002,1
Ohio,2002,82
Oklahoma,2002,0
Oregon,2002,12
Pennsylvania,2002,3989
Rhode Island,2002,852
South Carolina,2002,26
South Dakota,2002,2
Tennessee,2002,28
Texas,2002,139
Utah,2002,5
Vermont,2002,37
Virginia,2002,259
Washington,2002,11
West Virginia,2002,26
Wisconsin,2002,1090
Wyoming,2002,2
Alabama,2003,8
Alaska,2003,3
Arizona,2003,4
Arkansas,2003,0
California,2003,86
Colorado,2003,0
Connecticut,2003,1403
Delaware,2003,212
District of Columbia,2003,14
Florida,2003,43
Georgia,2003,10
Hawaii,2003,0
Idaho,2003,3
Illinois,2003,71
Indiana,2003,25
Iowa,2003,58
Kansas,2003,4
Kentucky,2003,17
Louisiana,2003,7
Maine,2003,175
Maryland,2003,691
Massachusetts,2003,1532
Michigan,2003,12
Minnesota,2003,474
Mississippi,2003,21
Missouri,2003,70
Montana,2003,0
Nebraska,2003,2
Nevada,2003,3
New Hampshire,2003,190
New Jersey,2003,2887
New Mexico,2003,1
New York,2003,5399
North Carolina,2003,156
North Dakota,2003,0
Ohio,2003,66
Oklahoma,2003,0
Oregon,2003,16
Pennsylvania,2003,5730
Rhode Island,2003,736
South Carolina,2003,18
South Dakota,2003,1
Tennessee,2003,20
Texas,2003,85
Utah,2003,2
Vermont,2003,43
Virginia,2003,195
Washington,2003,7
West Virginia,2003,31
Wisconsin,2003,740
Wyoming,2003,2
Alabama,2004,6
Alaska,2004,3
Arizona,2004,13
Arkansas,2004,0
California,2004,48
Colorado,2004,0
Connecticut,2004,1348
Delaware,2004,339
District of Columbia,2004,16
Florida,2004,46
Georgia,2004,12
Hawaii,2004,0
Idaho,2004,6
Illinois,2004,87
Indiana,2004,32
Iowa,2004,49
Kansas,2004,3
Kentucky,2004,15
Louisiana,2004,2
Maine,2004,225
Maryland,2004,891
Massachusetts,2004,1532
Michigan,2004,27
Minnesota,2004,1023
Mississippi,2004,0
Missouri,2004,25
Montana,2004,0
Nebraska,2004,2
Nevada,2004,1
New Hampshire,2004,226
New Jersey,2004,2698
New Mexico,2004,1
New York,2004,5100
North Carolina,2004,122
North Dakota,2004,0
Ohio,2004,50
Oklahoma,2004,3
Oregon,2004,11
Pennsylvania,2004,3985
Rhode Island,2004,249
South Carolina,2004,22
South Dakota,2004,1
Tennessee,2004,20
Texas,2004,98
Utah,2004,1
Vermont,2004,50
Virginia,2004,216
Washington,2004,14
West Virginia,2004,38
Wisconsin,2004,1144
Wyoming,2004,4
Alabama,2005,3
Alaska,2005,4
Arizona,2005,10
Arkansas,2005,0
California,2005,95
Colorado,2005,0
Connecticut,2005,1810
Delaware,2005,646
District of Columbia,2005,10
Florida,2005,47
Georgia,2005,6
Hawaii,2005,0
Idaho,2005,2
Illinois,2005,127
Indiana,2005,33
Iowa,2005,89
Kansas,2005,3
Kentucky,2005,5
Louisiana,2005,3
Maine,2005,247
Maryland,2005,1235
Massachusetts,2005,2336
Michigan,2005,62
Minnesota,2005,917
Mississippi,2005,0
Missouri,2005,15
Montana,2005,0
Nebraska,2005,2
Nevada,2005,3
New Hampshire,2005,265
New Jersey,2005,3363
New Mexico,2005,3
New York,2005,5565
North Carolina,2005,49
North Dakota,2005,3
Ohio,2005,58
Oklahoma,2005,0
Oregon,2005,3
Pennsylvania,2005,4287
Rhode Island,2005,39
South Carolina,2005,15
South Dakota,2005,2
Tennessee,2005,8
Texas,2005,69
Utah,2005,2
Vermont,2005,54
Virginia,2005,274
Washington,2005,13
West Virginia,2005,61
Wisconsin,2005,1459
Wyoming,2005,3
Alabama,2006,11
Alaska,2006,3
Arizona,2006,10
Arkansas,2006,0
California,2006,85
Colorado,2006,0
Connecticut,2006,1788
Delaware,2006,482
District of Columbia,2006,62
Florida,2006,34
Georgia,2006,8
Hawaii,2006,0
Idaho,2006,7
Illinois,2006,110
Indiana,2006,26
Iowa,2006,97
Kansas,2006,4
Kentucky,2006,7
Louisiana,2006,1
Maine,2006,338
Maryland,2006,1248
Massachusetts,2006,1432
Michigan,2006,55
Minnesota,2006,914
Mississippi,2006,3
Missouri,2006,5
Montana,2006,1
Nebraska,2006,11
Nevada,2006,4
New Hampshire,2006,617
New Jersey,2006,2432
New Mexico,2006,3
New York,2006,4460
North Carolina,2006,31
North Dakota,2006,7
Ohio,2006,43
Oklahoma,2006,0
Oregon,2006,7
Pennsylvania,2006,3242
Rhode Island,2006,308
South Carolina,2006,20
South Dakota,2006,1
Tennessee,2006,15
Texas,2006,29
Utah,2006,5
Vermont,2006,105
Virginia,2006,357
Washington,2006,8
West Virginia,2006,28
Wisconsin,2006,1466
Wyoming,2006,1
Alabama,2007,13
Alaska,2007,10
Arizona,2007,2
Arkansas,2007,1
California,2007,75
Colorado,2007,0
Connecticut,2007,3058
Delaware,2007,715
District of Columbia,2007,116
Florida,2007,30
Georgia,2007,11
Hawaii,2007,0
Idaho,2007,9
Illinois,2007,149
Indiana,2007,55
Iowa,2007,123
Kansas,2007,8
Kentucky,2007,6
Louisiana,2007,2
Maine,2007,529
Maryland,2007,2576
Massachusetts,2007,2988
Michigan,2007,51
Minnesota,2007,1238
Mississippi,2007,1
Missouri,2007,10
Montana,2007,4
Nebraska,2007,7
Nevada,2007,15
New Hampshire,2007,896
New Jersey,2007,3134
New Mexico,2007,5
New York,2007,4165
North Carolina,2007,53
North Dakota,2007,12
Ohio,2007,33
